rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD
A5A614	18.3030912435283	18.538154189736186	18.522084782672646	18.468593423815054	17.543969635073815	17.765295811868267	17.642683401576754	17.403731001604672	17.836168536229735	17.630788138571216	17.441331004117295	17.29222422505149	17.68702062657125	17.635117181220945	18.13024390772375
O32583	18.6099061958592	19.52680439090772	18.870583576182018	19.461382800419724	18.962321216510972	18.82378248315267	19.460241776406562	19.135504503278273	19.003779135998915	18.67026231169408	18.91794748243323	18.879986377845494	19.08144800172374	18.64032573021579	19.330017283957396
P00350	25.240365203894314	25.183958704764898	25.231466564834673	25.073184065956173	25.357077487264807	25.37974011715273	25.34951976064348	25.408889193924463	25.374997792050852	25.325868345105516	25.39804512709444	25.38470597888262	25.417644636086354	25.374119172495025	25.314447166170147
P00363	23.64729020154953	23.510353619549125	23.68935724121886	22.96852177522289	23.026267482591127	23.07690751089051	23.09263440412493	23.15205953621167	23.17407748900986	23.13575965244776	23.116136134194754	23.092822178082844	23.349099752869964	23.42263234473184	23.417817444829073
P00370	24.43348469229755	24.23781642836181	24.434392646349927	24.178129349746605	24.551986201187233	24.59184316149389	24.724599137080777	24.585018937372332	24.727289046982985	24.702654280883905	24.807754631064324	24.677981794581328	24.993330805903465	24.911689396229907	24.288887629102064
P00393	22.420803459990676	22.427428440490274	22.422051824236966	22.60076165512294	22.566454076448977	22.51548703922163	22.49507852082333	22.505342190800725	22.578875059343858	22.45505385307169	22.596903405300942	22.564485412437207	22.580425725050816	22.663410545418348	22.565503636618974
P00448	25.325426838072342	25.706575621876627	25.048151843797005	25.883670589513837	24.85644675142577	24.896128065959374	25.086308416996776	24.515097921747678	24.70011243515939	24.524257292515053	24.67817676462035	24.93899885851219	24.779330015191412	24.41045660402642	25.521946999244324
P00452	22.66118139276941	22.66248002335893	22.671780491614776	22.866043162622336	22.665997165164534	22.60088222140487	22.409441107765133	22.687654537320004	22.626407192878407	22.562388864505213	22.623703305595804	22.613661274394115	22.624534795830204	22.623861721639543	22.888710048838888
P00490	21.730083533553262	21.846320991487126	21.706387219574303	22.07051294889606	22.692141355904674	22.626721950043063	22.439370497488348	22.65766666902909	22.688757000241665	22.740456156648364	22.77951166161408	22.78580944250838	22.78335061903593	22.779083036132633	22.07707051954052
P00509	24.906347925125665	25.026903738187038	24.95192957249912	24.948097874380753	24.895689229546374	24.895028998296624	24.899532040040715	24.941267614028096	24.89285753722896	24.90473463512061	24.944585343440885	24.91801309848777	24.87728168581548	24.85131146095862	25.18262208227474
