"file"	"D5"	"F7"	"M8"	"batch"	"batch_code"	"condition"	"lab"	"platform"	"protocol"	"datatype"	"rep"	"date"	"pseudo_sample"
"U_L2_D5_01"	1	0	0	"U_L2_01"	"B03"	"D5"	"L02"	"U"	"not_available"	"Metabolomics"	1	20200509	"client_02_L02_D5_1_1"
"U_L2_D5_02"	1	0	0	"U_L2_01"	"B03"	"D5"	"L02"	"U"	"not_available"	"Metabolomics"	2	20200509	"client_02_L02_D5_2_1"
"U_L2_D5_03"	1	0	0	"U_L2_01"	"B03"	"D5"	"L02"	"U"	"not_available"	"Metabolomics"	3	20200509	"client_02_L02_D5_3_1"
"U_L2_D6_01"	0	0	0	"U_L2_01"	"B03"	"D6"	"L02"	"U"	"not_available"	"Metabolomics"	1	20200509	"client_02_L02_D6_1_1"
"U_L2_D6_02"	0	0	0	"U_L2_01"	"B03"	"D6"	"L02"	"U"	"not_available"	"Metabolomics"	2	20200509	"client_02_L02_D6_2_1"
"U_L2_D6_03"	0	0	0	"U_L2_01"	"B03"	"D6"	"L02"	"U"	"not_available"	"Metabolomics"	3	20200509	"client_02_L02_D6_3_1"
"U_L2_F7_01"	0	1	0	"U_L2_01"	"B03"	"F7"	"L02"	"U"	"not_available"	"Metabolomics"	1	20200509	"client_02_L02_F7_1_1"
"U_L2_F7_02"	0	1	0	"U_L2_01"	"B03"	"F7"	"L02"	"U"	"not_available"	"Metabolomics"	2	20200509	"client_02_L02_F7_2_1"
"U_L2_F7_03"	0	1	0	"U_L2_01"	"B03"	"F7"	"L02"	"U"	"not_available"	"Metabolomics"	3	20200509	"client_02_L02_F7_3_1"
"U_L2_M8_01"	0	0	1	"U_L2_01"	"B03"	"M8"	"L02"	"U"	"not_available"	"Metabolomics"	1	20200509	"client_02_L02_M8_1_1"
"U_L2_M8_02"	0	0	1	"U_L2_01"	"B03"	"M8"	"L02"	"U"	"not_available"	"Metabolomics"	2	20200509	"client_02_L02_M8_2_1"
"U_L2_M8_03"	0	0	1	"U_L2_01"	"B03"	"M8"	"L02"	"U"	"not_available"	"Metabolomics"	3	20200509	"client_02_L02_M8_3_1"
