file	lab	condition
BBM_673_P283_01_VEB_001_R4	lab_C	Pyr
BBM_673_P283_01_VEB_002_R3	lab_C	Pyr
BBM_673_P283_01_VEB_003_R3	lab_C	Pyr
BBM_673_P283_01_VEB_004_R3	lab_C	Pyr
BBM_673_P283_01_VEB_005_R3	lab_C	Pyr
BBM_673_P283_01_VEB_006_R2	lab_C	Pyr
BBM_673_P283_01_VEB_007_R2	lab_C	Pyr
BBM_673_P283_01_VEB_009_R2	lab_C	Pyr
BBM_673_P283_01_VEB_010_R2	lab_C	Pyr
BBM_673_P283_01_VEB_011_R2	lab_C	Pyr
BBM_673_P283_01_VEB_012_R2	lab_C	Pyr
BBM_673_P283_01_VEB_013_R2	lab_C	Glu
BBM_673_P283_01_VEB_017_R2	lab_C	Glu
BBM_673_P283_01_VEB_024_R3	lab_C	Glu
