"rowname"	"20230516_EXPL1_LiSc_SA_S610_RT_25_s2"	"20230516_EXPL1_LiSc_SA_S610_RT_26_s9"	"20230516_EXPL1_LiSc_SA_S610_RT_27_s12"	"20230516_EXPL1_LiSc_SA_S610_RT_28_s17"	"20230516_EXPL1_LiSc_SA_S610_RT_29_s24"	"20230516_EXPL1_LiSc_SA_S610_RT_30_s30"	"20230516_EXPL1_LiSc_SA_S610_RT_31_s33"	"20230516_EXPL1_LiSc_SA_S610_RT_32_s38"	"20230516_EXPL1_LiSc_SA_S610_RT_33_s44"	"20230516_EXPL1_LiSc_SA_S610_RT_34_s48"	"20230516_EXPL1_LiSc_SA_S610_RT_35_s51"	"20230516_EXPL1_LiSc_SA_S610_RT_36_s56"	"20230516_EXPL1_LiSc_SA_S610_RT_37_s63"	"20230516_EXPL1_LiSc_SA_S610_RT_38_s68"	"20230516_EXPL1_LiSc_SA_S610_RT_39_s72"	"20230516_EXPL1_LiSc_SA_S610_RT_40_s80"	"20230516_EXPL1_LiSc_SA_S610_RT_41_s81"	"20230516_EXPL1_LiSc_SA_S610_RT_42_s89"	"20230516_EXPL1_LiSc_SA_S610_RT_43_s92"	"20230516_EXPL1_LiSc_SA_S610_RT_44_s96"	"20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD"	"20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD"	"20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD"	"20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD"
"P0A8D6"	22.2598621978373	22.3383392299333	22.3443853149567	22.3409513584551	22.3865708794949	22.3088117281158	22.3856259881623	22.486785930767	22.2755505126385	22.2301183854501	22.110850298848	22.164465663177	22.1982741669358	22.1234849022473	22.2241854296964	22.149804168171	22.1047855686745	22.1521121263255	22.1249271540027	22.0852571882742	22.3635257570109	22.3755225926719	22.0983611273321	22.1756031517179
"P0AAX3"	20.175980739271	19.8973831387227	20.2123705124642	20.1521833200054	20.2834003990482	20.1586072229772	20.3029824581941	20.1917146958331	20.3840902069969	20.0934691472416	21.1441565837181	21.0925597291292	21.1359346895953	20.6559394418932	21.0130240986218	21.0389082753219	20.9594586464127	21.0185696742797	20.9382974521036	20.7760345706903	20.4310955935393	20.3244794359911	20.9715631995802	21.0803335091594
"P00959"	24.2472507206621	24.0916093875926	24.0934078923976	24.1381258416276	24.133539542663	24.1822952311583	24.1018141340476	24.0807059705522	24.1091515536584	24.2599455033568	24.4780988377615	24.4893829936912	24.3811695597333	24.4810590861364	24.4853959682389	24.4098479733895	24.4784445132208	24.4603024010131	24.5084776313922	24.5287719565111	24.2150162777022	24.1541644993567	24.4743713967516	24.4602023952914
"P0AEQ1"	21.1578366299197	21.4735739705424	21.686763813605	21.5351557496152	21.2449421389629	21.2919834165699	21.3523419873099	21.3482678172388	21.1866704290228	21.1042480900305	20.4732816356388	20.4442101236481	20.6206082450921	20.4447763066924	20.5977161472175	20.6247187192778	20.5981706596091	20.5483026542804	20.4545884720347	20.2723359057952	21.5156122616843	21.3860708748243	20.2695992736126	20.6128289113057
"P25738"	23.7351159394359	23.9528794986472	24.1716157081689	24.0129934196276	24.1264987336961	23.7395931586329	24.2130442786033	24.344275587361	24.396844365271	23.7274290066995	23.3400358850456	23.5067356549447	23.2955666106251	23.1862910947735	23.4856907718242	23.613085301263	23.4172529976094	23.2402920241944	23.3256710811359	23.1318170919656	23.8382860311395	23.925396882783	23.1522514150207	23.3824630779075
"P64596"	23.704246039749	23.6053171890985	23.5974956571319	23.7115426303899	23.7161248987294	23.6118479115801	23.6135687197613	23.841428059804	23.7763358372055	23.6227677042366	23.3423709586445	23.2428420675919	23.3510670108772	23.3570413019407	23.3507298837589	23.3794650974326	23.3280980030408	23.2510015307642	23.2956226588392	23.3584773603634	23.7282597591447	23.7042249282715	23.2682375765992	23.3871390954543
"P00452"	23.4611396768981	23.6785262117378	23.4359347199364	23.5990974211167	23.5938880214316	23.4268416051594	23.6508177347344	23.6485594637291	23.5518499876126	23.5008287532686	23.4568607215201	23.3981043353627	23.2141833257107	23.4962393935886	23.3845197581705	23.3345362671712	23.3946940006541	23.3835708854399	23.3969945749135	23.40621227303	23.650138432709	23.5752169960537	23.4021054344168	23.3516466853035
"P10100"	22.6125567282489	22.4909159834329	22.5195911448845	22.487163886815	22.5628777720247	22.5018056061698	22.495207517942	22.5128643735129	22.5970022737556	22.5877811781348	22.4676836533553	22.4340519368707	22.4137947334739	22.3464401491328	22.4598998357742	22.4319244904543	22.3429731202252	22.419726202214	22.3947986518368	22.4568256367068	22.5935005463604	22.5858712001206	22.4760935215598	22.5173219310182
"P0AEG4"	25.0282816157636	25.18531585383	25.3776593430474	25.22020028742	25.2670982735892	25.1036479889269	25.2812558411259	25.2042897881785	25.2110918664274	25.0379880837043	25.2960289432844	25.3854350923577	25.3993469064318	25.1487954073272	25.3927795071009	25.4421760989278	25.3213797099859	25.3040854257204	25.384911644976	25.320581186151	25.2033901254235	25.202919538893	25.3207602040652	25.3126927104597
"P19934"	20.6162975563383	20.5392610650397	20.5618342380019	20.5066581849295	20.5484531819735	20.4759748203058	20.5714582478729	20.5220604094521	20.5577179697473	20.5789751873461	20.4125160953582	20.4846832774394	20.5235351564246	20.4415785020603	20.5190007724406	20.5070745373572	20.4250109604706	20.48957164421	20.5166657152991	20.3691904915787	20.538797077001	20.4895912428494	20.4803405508103	20.482351056159
