"file"	"D5"	"F7"	"M8"	"batch"	"batch_code"	"condition"	"lab"	"platform"	"protocol"	"datatype"	"rep"	"date"	"pseudo_sample"
"B1_DDA_APT_QE-HFX_B1_D5_1"	1	0	0	"APT_QE-HFX_1"	"B02"	"D5"	"L02"	"TFQ"	"not_available"	"Proteomics"	1	20190702	"client_02_L02_D5_1_1"
"B1_DDA_APT_QE-HFX_B1_D5_2"	1	0	0	"APT_QE-HFX_1"	"B02"	"D5"	"L02"	"TFQ"	"not_available"	"Proteomics"	2	20190702	"client_02_L02_D5_2_1"
"B1_DDA_APT_QE-HFX_B1_D5_3"	1	0	0	"APT_QE-HFX_1"	"B02"	"D5"	"L02"	"TFQ"	"not_available"	"Proteomics"	3	20190702	"client_02_L02_D5_3_1"
"B1_DDA_APT_QE-HFX_B1_D6_1"	0	0	0	"APT_QE-HFX_1"	"B02"	"D6"	"L02"	"TFQ"	"not_available"	"Proteomics"	1	20190702	"client_02_L02_D6_1_1"
"B1_DDA_APT_QE-HFX_B1_D6_2"	0	0	0	"APT_QE-HFX_1"	"B02"	"D6"	"L02"	"TFQ"	"not_available"	"Proteomics"	2	20190702	"client_02_L02_D6_2_1"
"B1_DDA_APT_QE-HFX_B1_D6_3"	0	0	0	"APT_QE-HFX_1"	"B02"	"D6"	"L02"	"TFQ"	"not_available"	"Proteomics"	3	20190702	"client_02_L02_D6_3_1"
"B1_DDA_APT_QE-HFX_B1_F7_1"	0	1	0	"APT_QE-HFX_1"	"B02"	"F7"	"L02"	"TFQ"	"not_available"	"Proteomics"	1	20190702	"client_02_L02_F7_1_1"
"B1_DDA_APT_QE-HFX_B1_F7_2"	0	1	0	"APT_QE-HFX_1"	"B02"	"F7"	"L02"	"TFQ"	"not_available"	"Proteomics"	2	20190702	"client_02_L02_F7_2_1"
"B1_DDA_APT_QE-HFX_B1_F7_3"	0	1	0	"APT_QE-HFX_1"	"B02"	"F7"	"L02"	"TFQ"	"not_available"	"Proteomics"	3	20190702	"client_02_L02_F7_3_1"
"B1_DDA_APT_QE-HFX_B1_M8_1"	0	0	1	"APT_QE-HFX_1"	"B02"	"M8"	"L02"	"TFQ"	"not_available"	"Proteomics"	1	20190702	"client_02_L02_M8_1_1"
"B1_DDA_APT_QE-HFX_B1_M8_2"	0	0	1	"APT_QE-HFX_1"	"B02"	"M8"	"L02"	"TFQ"	"not_available"	"Proteomics"	2	20190702	"client_02_L02_M8_2_1"
"B1_DDA_APT_QE-HFX_B1_M8_3"	0	0	1	"APT_QE-HFX_1"	"B02"	"M8"	"L02"	"TFQ"	"not_available"	"Proteomics"	3	20190702	"client_02_L02_M8_3_1"
